year,orig,dest,flow
1991,Tocantins,Maranhão,7637
1991,Tocantins,Piauí,887
1991,Tocantins,Ceará,305
1991,Tocantins,Rio Grande do Norte,156
1991,Tocantins,Paraíba,110
1991,Tocantins,Pernambuco,83
1991,Tocantins,Alagoas,12
1991,Tocantins,Sergipe,2
1991,Tocantins,Bahia,577
1991,Tocantins,Minas Gerais,1402
1991,Tocantins,Espírito Santo,69
1991,Tocantins,Rio de Janeiro,208
1991,Tocantins,São Paulo,2209
1991,Tocantins,Paraná,464
1991,Tocantins,Santa Catarina,110
1991,Tocantins,Rio Grande do Sul,634
1991,Tocantins,Mato Grosso do Sul,147
1991,Tocantins,Mato Grosso,2908
1991,Tocantins,Goiás,26040
1991,Tocantins,Distrito Federal,4357
1991,Maranhão,Rondônia,5307
1991,Maranhão,Acre,160
1991,Maranhão,Amazonas,4805
1991,Maranhão,Roraima,12696
1991,Maranhão,Pará,84538
1991,Maranhão,Amapá,1611
1991,Maranhão,Tocantins,17672
1991,Maranhão,Piauí,27831
1991,Maranhão,Ceará,8841
1991,Maranhão,Rio Grande do Norte,869
1991,Maranhão,Paraíba,1067
1991,Maranhão,Pernambuco,2787
1991,Maranhão,Alagoas,332
1991,Maranhão,Sergipe,613
1991,Maranhão,Bahia,1784
1991,Maranhão,Minas Gerais,3168
1991,Maranhão,Espírito Santo,800
1991,Maranhão,Rio de Janeiro,7362
1991,Maranhão,São Paulo,18030
1991,Maranhão,Paraná,784
1991,Maranhão,Santa Catarina,189
1991,Maranhão,Rio Grande do Sul,626
1991,Maranhão,Mato Grosso do Sul,509
1991,Maranhão,Mato Grosso,11947
1991,Maranhão,Goiás,9170
1991,Maranhão,Distrito Federal,14431
1991,Piauí,Rondônia,712
1991,Piauí,Acre,94
1991,Piauí,Amazonas,1698
1991,Piauí,Roraima,1104
1991,Piauí,Pará,8099
1991,Piauí,Amapá,472
1991,Piauí,Tocantins,3161
1991,Piauí,Maranhão,24228
1991,Piauí,Ceará,10497
1991,Piauí,Rio Grande do Norte,865
1991,Piauí,Paraíba,727
1991,Piauí,Pernambuco,4443
1991,Piauí,Alagoas,174
1991,Piauí,Sergipe,252
1991,Piauí,Bahia,3143
1991,Piauí,Minas Gerais,1120
1991,Piauí,Espírito Santo,199
1991,Piauí,Rio de Janeiro,3394
1991,Piauí,São Paulo,43523
1991,Piauí,Paraná,436
1991,Piauí,Santa Catarina,222
1991,Piauí,Rio Grande do Sul,121
1991,Piauí,Mato Grosso do Sul,265
1991,Piauí,Mato Grosso,854
1991,Piauí,Goiás,7665
1991,Piauí,Distrito Federal,21979
1991,Ceará,Rondônia,4437
1991,Ceará,Acre,545
1991,Ceará,Amazonas,6524
1991,Ceará,Roraima,2598
1991,Ceará,Pará,12784
1991,Ceará,Amapá,652
1991,Ceará,Tocantins,2572
1991,Ceará,Maranhão,8929
1991,Ceará,Piauí,11493
1991,Ceará,Rio Grande do Norte,9701
1991,Ceará,Paraíba,4552
1991,Ceará,Pernambuco,13043
1991,Ceará,Alagoas,997
1991,Ceará,Sergipe,864
1991,Ceará,Bahia,7477
1991,Ceará,Minas Gerais,5468
1991,Ceará,Espírito Santo,1728
1991,Ceará,Rio de Janeiro,23346
1991,Ceará,São Paulo,94930
1991,Ceará,Paraná,1702
1991,Ceará,Santa Catarina,771
1991,Ceará,Rio Grande do Sul,1274
1991,Ceará,Mato Grosso do Sul,2132
1991,Ceará,Mato Grosso,2315
1991,Ceará,Goiás,8179
1991,Ceará,Distrito Federal,16153
1991,Rio Grande do Norte,Rondônia,851
1991,Rio Grande do Norte,Acre,227
1991,Rio Grande do Norte,Amazonas,762
1991,Rio Grande do Norte,Roraima,600
1991,Rio Grande do Norte,Pará,1571
1991,Rio Grande do Norte,Amapá,324
1991,Rio Grande do Norte,Tocantins,223
1991,Rio Grande do Norte,Maranhão,608
1991,Rio Grande do Norte,Piauí,587
1991,Rio Grande do Norte,Ceará,7572
1991,Rio Grande do Norte,Paraíba,10397
1991,Rio Grande do Norte,Pernambuco,4977
1991,Rio Grande do Norte,Alagoas,795
1991,Rio Grande do Norte,Sergipe,532
1991,Rio Grande do Norte,Bahia,1645
1991,Rio Grande do Norte,Minas Gerais,2255
1991,Rio Grande do Norte,Espírito Santo,392
1991,Rio Grande do Norte,Rio de Janeiro,8676
