orig,dest,year,period,move_type,flow
South,South,1960,1955-1960,Return,0
West,South,1960,1955-1960,Return,244014
Northeast,West,1960,1955-1960,Return,27681
Midwest,West,1960,1955-1960,Return,79539
South,West,1960,1955-1960,Return,99549
West,West,1960,1955-1960,Return,0
Northeast,Northeast,1970,1965-1970,Return,0
Midwest,Northeast,1970,1965-1970,Return,139800
South,Northeast,1970,1965-1970,Return,269500
West,Northeast,1970,1965-1970,Return,119000
Northeast,Midwest,1970,1965-1970,Return,119000
Midwest,Midwest,1970,1965-1970,Return,0
South,Midwest,1970,1965-1970,Return,334400
West,Midwest,1970,1965-1970,Return,302100
Northeast,South,1970,1965-1970,Return,217700
Midwest,South,1970,1965-1970,Return,402100
South,South,1970,1965-1970,Return,0
West,South,1970,1965-1970,Return,379600
Northeast,West,1970,1965-1970,Return,54600
Midwest,West,1970,1965-1970,Return,112300
South,West,1970,1965-1970,Return,162200
West,West,1970,1965-1970,Return,0
Northeast,Northeast,1980,1975-1980,Return,0
Midwest,Northeast,1980,1975-1980,Return,121320
South,Northeast,1980,1975-1980,Return,306040
West,Northeast,1980,1975-1980,Return,123800
Northeast,Midwest,1980,1975-1980,Return,115600
Midwest,Midwest,1980,1975-1980,Return,0
South,Midwest,1980,1975-1980,Return,414880
West,Midwest,1980,1975-1980,Return,324920
Northeast,South,1980,1975-1980,Return,276960
Midwest,South,1980,1975-1980,Return,469440
South,South,1980,1975-1980,Return,0
West,South,1980,1975-1980,Return,404000
Northeast,West,1980,1975-1980,Return,70240
Midwest,West,1980,1975-1980,Return,153960
South,West,1980,1975-1980,Return,208920
West,West,1980,1975-1980,Return,0
Northeast,Northeast,1990,1985-1990,Return,0
Midwest,Northeast,1990,1985-1990,Return,104326
South,Northeast,1990,1985-1990,Return,373282
West,Northeast,1990,1985-1990,Return,160569
Northeast,Midwest,1990,1985-1990,Return,94936
Midwest,Midwest,1990,1985-1990,Return,0
South,Midwest,1990,1985-1990,Return,583488
West,Midwest,1990,1985-1990,Return,362617
Northeast,South,1990,1985-1990,Return,262102
Midwest,South,1990,1985-1990,Return,370392
South,South,1990,1985-1990,Return,0
West,South,1990,1985-1990,Return,388443
Northeast,West,1990,1985-1990,Return,61177
Midwest,West,1990,1985-1990,Return,130105
South,West,1990,1985-1990,Return,256946
West,West,1990,1985-1990,Return,0
Northeast,Northeast,2000,1995-2000,Return,0
Midwest,Northeast,2000,1995-2000,Return,96275
South,Northeast,2000,1995-2000,Return,385736
West,Northeast,2000,1995-2000,Return,140446
Northeast,Midwest,2000,1995-2000,Return,95258
Midwest,Midwest,2000,1995-2000,Return,0
South,Midwest,2000,1995-2000,Return,516624
West,Midwest,2000,1995-2000,Return,320492
Northeast,South,2000,1995-2000,Return,279094
Midwest,South,2000,1995-2000,Return,402714
South,South,2000,1995-2000,Return,0
West,South,2000,1995-2000,Return,427813
Northeast,West,2000,1995-2000,Return,78720
